"","EndothelialCells","EpithelialCells","Fibroblasts","Other","NK","BCells","PlasmaCells","DC","CD4-T","CD8-T","Macrophages","OtherImmune"
"T_BB147",1.36986305831047,66.7900777463759,3.59126249307732,1.61051457444791,0.763951275019922,1.22304501899179,0.0397640292634348,0.184360487203979,10.8371216287299,3.98043323399829,7.54240996111357,2.06719731072542
"T_BB151",0.584112200675277,69.392523354008,3.62149532385962,2.57009346941982,2.35578472647489,0.356106998802061,0.13696421747599,0.246535620054914,8.53737833662669,1.07060371081067,1.72279321847982,9.40560885486881
"T_BB152",4.5139379848189,20.2631950897611,8.73072028133199,49.2288099797549,0.754705846475527,2.81112260643578,0.172785560219363,0.108326695245213,5.70631272734612,2.64710009799578,3.18101074317904,1.88197239619995
"T_BB153",5.128759963273,53.0188271638688,5.41008435887271,20.8396450710451,1.69572572426548,0.787659580411803,0.0100338828872702,0.00501693364229339,5.20299151768681,3.17230938276455,1.89454055675399,2.83440586119196
"T_BB154",5.63331838263356,4.08340598712769,6.73252195624272,2.3762533144545,4.6025698180359,5.26675857481075,0.199901461028412,0.475572012437424,40.6155528836979,15.8252601496577,4.75027601894472,9.43860950851956
"T_BB155",1.75824174263012,32.8937729346721,4.981684937452,2.85714283177394,1.70543061669875,3.17069384749816,0.211056135327467,0.293537839420328,25.6254467151861,17.1990610082476,1.94061057747462,7.36332075610956
"T_BB156",2.09606988478423,24.0174672770628,8.86462881135505,3.18777286813028,2.31324456715974,2.30355220174124,0.109846787464966,0.436156443832448,20.5291051945291,14.666905138787,10.6937689144906,10.7814818785033
"T_BB157",1.38600141384402,10.1640101268866,4.2966042501999,1.2936012471969,1.74784285318143,9.87770312651521,0.458172424149627,0.149638802124769,34.1499608916643,22.9556271471451,1.5154670266256,12.0053707789601
"T_BB158",0.036545318407043,14.1288128426886,0.401998291538902,0.248288725772224,4.83606123291553,10.5518620161952,0.868460886232754,0.483731455032802,51.2544421046702,8.04087500380238,0.925934077643174,8.22298813028549
"T_BB159",2.33918124193969,53.4785239099835,16.596087933258,2.54083482650657,0.543280354352366,0.758236818558025,0.0426968243833407,0.0544752621505206,6.16441010645446,6.16142710714751,6.9789689117316,4.34187668790437
"T_BB160",2.44672452390429,32.5966850859657,6.98500389901091,1.61799528759969,0.816040969687766,11.4362646353062,0.713159035907061,0.0865143713371903,21.9327880760773,13.1915629646787,2.47610978238585,5.70115232185985
"T_BB161",4.88454708124998,35.1095322060485,11.9301361702285,3.22676144737895,2.90151095766287,5.10510837218276,0.158322971596731,0.893393975223013,20.8913588759642,3.75378858701957,6.32628193809513,4.81925746219888
